122,58,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
87.586,40.153,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
81.981,56.459,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
51.917,56.459,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
67.713,52.382,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
82.49,63.592,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
112.04,37.096,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
132.43,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.03,45.248,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
134.46,49.325,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
140.58,44.229,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
151.79,49.834,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
147.71,51.873,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
158.92,50.344,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
124.27,48.815,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
126.82,42.701,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
120.2,48.815,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
135.48,46.268,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
163,40.153,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
166.57,30.471,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
161.47,49.325,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
146.69,39.643,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
150.26,46.268,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
153.83,49.834,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
154.85,54.42,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
143.13,52.892,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
125.8,36.586,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
119.69,46.268,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
126.31,47.796,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
149.24,51.873,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
150.26,47.796,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.03,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
143.64,53.911,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
146.18,54.93,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
119.18,51.363,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
122.75,48.815,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
124.78,47.287,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
120.71,42.191,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
128.35,36.076,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
120.2,37.096,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
128.86,30.471,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
146.69,29.452,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
154.85,22.828,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
137.01,37.605,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
120.71,36.076,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
133.45,41.172,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
152.81,40.153,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
141.6,24.357,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
127.33,28.433,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
124.27,28.433,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
127.84,39.643,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
136.5,22.318,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
137.01,38.624,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
139.05,40.153,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
115.1,40.153,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
106.44,35.057,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
121.73,44.229,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
145.17,30.981,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
150.26,31.49,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
140.58,36.076,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
140.07,33.019,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
143.64,38.624,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
140.07,53.911,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.03,55.949,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
142.62,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
154.85,45.248,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
137.01,41.172,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
113.06,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
119.69,42.191,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.03,57.987,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
163,54.93,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
153.83,58.497,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
146.69,56.968,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
136.5,59.006,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.54,54.42,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
156.38,62.064,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
166.06,59.516,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
169.62,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
175.74,57.478,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
161.98,55.949,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
155.87,54.93,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
143.13,42.191,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
160.96,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
160.96,47.287,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
154.85,52.382,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
137.52,48.815,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
128.86,47.796,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
146.18,49.325,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
158.92,48.306,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
154.34,62.064,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
138.03,52.382,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
127.33,55.439,75,97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
117.65,54.42,75,97
0,0,0,0
